"param","value","zone"
"lat_0","8.5","AF"
"lon_0","21.5","AF"
"x_0","5621452.01998","AF"
"y_0","5990638.42298","AF"
"datum","WGS84","AF"
"units","m","AF"
"lat_0","-90","AN"
"lon_0","0","AN"
"x_0","3714266.97719","AN"
"y_0","3402016.50625","AN"
"datum","WGS84","AN"
"units","m","AN"
"lat_0","47","AS"
"lon_0","94","AS"
"x_0","4340913.84808","AS"
"y_0","4812712.92347","AS"
"datum","WGS84","AS"
"units","m","AS"
"lat_0","53","EU"
"lon_0","24","EU"
"x_0","5837287.81977","EU"
"y_0","2121415.69617","EU"
"datum","WGS84","EU"
"units","m","EU"
"lat_0","52","NA"
"lon_0","-97.5","NA"
"x_0","8264722.17686","NA"
"y_0","4867518.35323","NA"
"datum","WGS84","NA"
"units","m","NA"
"lat_0","-19.5","OC"
"lon_0","131.5","OC"
"x_0","6988408.5356","OC"
"y_0","7654884.53733","OC"
"datum","WGS84","OC"
"units","m","OC"
"lat_0","-14","SA"
"lon_0","-60.5","SA"
"x_0","7257179.23559","SA"
"y_0","5592024.44605","SA"
"datum","WGS84","SA"
"units","m","SA"
